v001x,v002x,v003x,v004x,v005x,v001y,v002y,v003y,v004y,v005y,v006y,v007y,v008y,v009y,v010y,v011y,v012y,v013y,v014y,v015y,v016y,v017y,v030y,v030y2,v031y,v031y2,v032y,v032y2,v033y,v033y2,v034y,v034y2,v035y,v035y2,v036y,v036y2,v040y,v041y,v042y,v043y,v044y,v044y2,v045y,v046y,v047y,v048y,v049y,v050y,v051y,v051y2,v052y,v053y,v054y,v055y,v056y,v057y,v058y,v058y2,v059y,v059y2,v060y,v060y2,v061y,v062y,v063y,v080y,v081y,v082y,v083y,v084y,v085y,v086y,v088y,v089y,v090y,v091y,v091y2,v092y,v093y,v120y,v121y,v122y,v123y,v124y,v124y2,v125y,v126y,v127y,v128y,v129y,v130y,v131y,v132y,v133y,v134y,v135y,v136y,v137y,v138y,v139y,v140y,v160y,v160y1,v161y,v161y1,v161y2,v162y,v163y,v164y,v165y,v166y,v166y2,v166y3,v167y,v167y2,v168y,v168y2,v169y,v169y2,v169y9,v169y10,v169y11,v169y12,v169y13,v169y14,v170y,v170y2,v170y3,v171y,v171y1,v171y2,v171y3,v171y4,v171yt,v172y,v173y,v174y,v174y1,v175y,v176y,v176y2,v176y3l,v176y3,v176yt,v177y,v178y,v178y2,v178y3l,v178y3,v178yt,v179y,v179y2,v180y,v200y,v201y,v202y,v203y,v203y2,v204y,v204y2,v205y,v206y,v207y,v208y,v209y,v210y,v211y,v212y,v213y,v214y,v215y,v216y,v216y2,v216y3,v217y,v217y2,v217y3,v217y4,v217y5,v217y5l,v217y6,v217y7,v217y23,v217y24,v217y25,v217y27,v217y31,v217y32,v218y,v218yl,v219y,v219y2,v219y3,v219y4,v219y5,v220y,v221y
9,911,Cosgrave I,730314,770616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,1,1786,3,2.59,3.006009,2,0.4792,0.333,1,0,1,50.69444,2,1,1,0,0,0,1,1,0,2,15,-1,15,1,0.0730594,0.0338437,1,0,76.2,35.90306,2.421021,1,0.333,0,0,0,1,0,0,0,0,0,1,0,0,1,1,4.06,1,0,0,0,0,0,0,6,0,1,0,0,1,144,1,0,0,0,0,0,1,1,1,1,0,0,0,14,15,0,0,1,1,1206,0,0,0,0,100,0,1,1,2,0,1,0,2,1,0,1,2,0,0,1,1,2,2,PS,1,0,1,2,2,Parl,0.8577828,1532,1,0,0,0,0,0,4.166667,0.5,11.4,7.2,4.7,11.8,13.6,8.2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-6.7,-0.1321644,0,0,1,-4.6,-4.6
16,1615,Fälldin I,761007,781005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,1,1074,5,3.45,3,3,0.4355,0.5,1,0,1,51.57593,3,1,0,0,0,0,1,1,0,2,15,1,20,1,0.05,0.0702614,0,4.87106,40.5,6.789958,2.531366,1,0.167,6.700001,20.4,1,0,1,1,1,0,1,1,0,0,0,0,5.16,0,0,1,0,0,1,0,3,0,1,0,0,1,349,1,1,1,0,0,0,0,0,0,0,0,0,0,18,19,0,0,1,2,2900,0,8,0,0,92,1,2,3,2,0,1,0,2,2,1,1,2,0,0,0,0,0,0,CaC,0,0,0,0,0,IC,0.6778399,728,0,0,0,0,0,0,2.648383,0.9,10.3,1.2,0.4,1.6,9.9,1.8,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.8,-0.0349,1,0,0,-0.5,-6
4,424,Koivisto I,680322,700315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0,1,0,0,0,0,0,724,8,4.96,4.453926,3.61,0.275,0.317,1,0,1,82,5,1,1,0,0,0,1,0,1,3,11,0,16,1,0.0731707,0.0814107,0,20.5,94.2,23.81247,2.833251,0,0.317,0,94.2,1,1,0,0,0,1,1,1,1,0,0,0,4.86,0,0,0,0,0,0,0,1,0,0,1,1,0,200,0,0,1,1,1,0,0,0,0,0,0,0,0,21,22,0,0,1,3,841,0,0,0,0,100,0,1,2,3,0,0,1,3,3,0,1,3,0,0,0,0,0,0,CaC,0,0,0,0,0,CaC,1,724,0,0,0,0,1,0,11.5,0.8,9.2,4,2.3,1.9,2.8,7.5,0,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-13.9,-0.1695122,1,0,0,-3.8,-3.8
10,1031,Moro II,741123,760107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,896,8,3.6,2.913032,1.08,0.4206,0.542,1,0,1,44.44444,2,-1,1,0,0,1,0,0,0,1,21,1,26,0,0.1737013,0.1755952,1,36.50794,43.8,14.7548,2.646373,0,0.542,0,7.6,1,1,1,0,0,0,1,0,0,1,0,1,7.13,1,0,0,0,1,0,0,2,0,0,0,0,1,630,0,0,0,0,0,0,0,0,1,1,0,0,0,51,52,1,2,0,0,,,,,,,0,1,2,2,0,1,0,2,3,0,0,2,0,1,0,1,1,1,CoC,1,0,1,1,1,CoC,0.4575893,410,0,0,0,0,0,0,11.26984,0.4,19.2,5.4,5.4,6.7,16.7,6.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2,0.0045,0,0,0,0.2,0
10,1032,Moro III,760212,760430,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,450,9,3.6,2.913032,1,0.4206,0.542,1,0,0,42.06349,1,-1,1,0,1,0,0,0,0,1,21,0,23,-1,,,,36.50794,43.8,14.7548,2.646373,0,0.542,0,0,1,1,0,0,0,0,1,0,0,1,0,1,7.13,1,0,0,0,1,0,0,2,0,0,0,0,1,630,0,0,0,0,0,0,0,0,1,1,0,0,1,36,37,1,1,,,,,,,,,,,,,,0,0,,,1,1,1,1,,,,,,,,,,,,,0.1733333,78,1,0,0,0,1,0,11.26984,0.4,16.7,6.7,6.6,6.7,16.7,6.6,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
12,1214,Biesheuvel II,720809,721128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,132,14,6.4,6.488324,3.31,0.26,0.266,1,0,1,49.33333,4,-1,0,0,0,1,0,0,0,1,14,0,14,-1,0.0846847,0.1160572,1,4,61,18.97475,2.585698,1,0.214,13.5,47.5,1,1,0,0,0,0,1,0,1,0,1,1,3.6,0,0,0,0,0,0,1,1,0,0,0,0,1,150,1,0,0,0,0,0,0,0,1,1,0,0,1,22,23,0,0,0,0,,,,,,,0,0,,2,0,1,0,2,4,0,0,2,0,0,0,0,0,0,IC,1,0,1,1,1,CoC,1,132,1,0,0,0,0,0,13.33333,2.05,7.9,2.7,3.3,2.7,7.9,3.3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1.3,-0.0263514,0,1,0,-4.1,0.2
6,616,Schmidt I,740516,761030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,941,3,2.34,3,2,0.4637,0.333,1,0,1,54.6371,2,0,1,0,0,0,1,1,0,2,15,0,16,1,0.1428261,0.1381822,1,0,41.3,16.86093,2.67224,0,0.333,41.3,41.3,1,1,1,1,0,1,1,1,1,0,1,1,3.47,1,0,1,1,0,0,0,7,0,1,0,0,1,496,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,,,,,,,0,1,2,1,1,0,0,1,1,0,0,1,1,,,,,,,,,,,,,0.9543039,898,0,0,0,0,0,0,3.427419,1.85,7,2.6,0.3,4.6,4.3,5.4,0,4.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.7,-0.0677196,1,0,0,-3.2,-3.2
10,1029,Rumor IV,730707,740302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,1400,8,3.6,2.913032,1.71,0.4206,0.542,1,0,1,58.88889,4,1,1,0,0,0,1,0,1,3,20,0,29,1,0.1642857,0.1233766,1,36.50794,43.8,14.7548,2.646373,0,0.542,0,43.8,1,1,1,0,0,0,1,0,0,1,0,1,7.13,1,0,0,0,1,0,0,2,0,0,0,0,1,630,0,0,0,0,0,0,1,0,1,1,0,0,0,30,31,0,0,0,0,,,,,,,0,1,2,2,0,1,0,2,3,0,0,2,0,1,0,1,1,1,CoC,1,0,1,1,1,CoC,0.17,238,0,0,0,0,0,0,11.26984,0.4,10.8,6.4,7.1,5.4,19.2,5.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-1.5,-0.0254717,0,0,0,0,0
12,1213,Biesheuvel I,710706,720720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,1,1392,14,6.4,6.488324,3.92,0.26,0.266,1,0,1,54.66667,5,1,0,0,0,0,1,1,0,2,14,1,16,1,0.1796748,0.1757532,1,4,37.9,13.89727,2.585698,1,0.214,13.5,24.4,1,1,0,0,0,0,1,0,1,0,1,1,3.6,0,0,0,0,0,0,1,1,0,0,0,0,1,150,1,1,1,0,0,0,0,0,0,0,0,0,0,69,70,1,1,1,2,6100,2,5,0,0,93,1,2,3,2,0,1,0,2,4,1,1,2,0,0,0,0,0,0,IC,1,0,1,2,1,CoC,0.2571839,358,0,0,0,0,0,0,13.33333,2.05,7.4,1.6,4.2,2.7,7.9,3.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0.0091463,1,0,0,-4.1,0.2
5,507,Chaban Delmas,690620,720705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1564,5,2.49,1,1,0.6016,1,0,0,1,79.46612,3,1,1,0,0,0,1,0,1,3,18,1,19,-1,0.0904393,0.0831929,1,6.98152,107.1,0,3.05857,0,1,0,65,1,1,1,0,1,0,0,1,0,0,1,1,3.4,0,0,1,0,0,0,0,6,0,1,1,1,1,487,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,,,,,,0,0,0,2,0,1,0,2,2,0,0,2,0,0,0,0,0,0,CaC,0,0,,,,O,0.7103581,1111,0,0,0,0,0,0,22.99795,3.95,6,2.2,7,2.8,6.1,4.4,6.1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-22.4,-0.2818811,1,0,0,-1.8,-14
